date,calories,weight_lb,protein_g,carbs_g,fat_g,water_l,sodium_mg,steps,calories_burned,lift_day
2025-10-07,2959,187.9,202,343,86,3.29,2732,9587,2957,1
2025-10-08,3017,187.9,133,418,98,2.2,3470,8569,2483,0
2025-10-09,3235,188.1,197,415,79,3.19,3326,8856,2720,1
2025-10-10,3287,188.5,180,461,85,3.5,3269,9178,2921,1
2025-10-11,2681,188.4,140,321,88,1.73,2502,7300,2502,0
2025-10-12,2552,187.7,162,291,75,2.32,2254,6309,2570,0
2025-10-13,3012,188.1,183,382,83,3.2,3644,9660,2942,1
2025-10-14,3036,188.6,171,387,80,2.93,3385,9591,2873,1
2025-10-15,2954,188.2,156,389,81,2.73,2460,7518,2437,0
2025-10-16,3207,188.1,174,444,71,2.79,2952,9055,2676,1
2025-10-17,2833,188.5,182,385,80,3.03,3241,7939,2754,1
2025-10-18,2615,188.4,165,296,86,2.55,3421,6977,2617,0
2025-10-19,2655,188.1,179,252,97,3.01,2710,6986,2540,0
2025-10-20,2256,187.5,161,201,92,3.09,2685,8307,2674,1
2025-10-21,2506,187.5,212,174,106,3.12,3103,8815,2867,1
2025-10-22,2943,188.1,126,446,71,2.46,2862,7451,2582,0
2025-10-23,2859,187.9,178,346,90,2.83,2383,10510,2817,1
2025-10-24,2988,188.1,189,388,82,2.85,3342,8892,2869,1
2025-10-25,2503,188.2,159,217,106,2.74,2693,7086,2526,0
2025-10-26,2289,187.9,146,257,70,2.45,3049,6706,2365,0
2025-10-27,3012,188.0,177,413,70,3.1,4028,6763,2797,1
2025-10-28,2853,188.0,173,331,73,3.73,3709,8382,2894,1
2025-10-29,3090,187.9,146,473,55,2.9,2885,6575,2626,0
2025-10-30,2761,187.9,193,359,74,2.89,2950,10453,3047,1
2025-10-31,2782,188.3,185,383,71,3.42,4257,7979,2644,1
2025-11-01,2713,188.2,145,345,82,2.46,2896,6540,2382,0
2025-11-02,2347,187.4,168,241,84,1.89,2797,6155,2539,0
2025-11-03,2786,187.4,185,288,103,2.65,3272,6853,2820,1
2025-11-04,2788,187.6,192,361,91,2.35,3408,8855,2910,1
2025-11-05,3018,187.6,164,448,73,2.48,2908,6626,2961,0
2025-11-06,2934,187.6,168,408,69,3.01,3175,8388,2896,1
2025-11-07,3291,187.7,172,439,86,3.59,3210,6787,2892,1
2025-11-08,2673,187.6,166,325,64,2.71,2849,7000,2629,0
